,mesh_cd,geometry,idxmax
39,53392567,"POLYGON ((139.7125 35.55, 139.725 35.55, 139.725 35.5583333333333, 139.7125 35.5583333333333, 139.7125 35.55))",セブンイ
40,53392568,"POLYGON ((139.725 35.55, 139.7375 35.55, 139.7375 35.5583333333333, 139.725 35.5583333333333, 139.725 35.55))",セブンイ
41,53392569,"POLYGON ((139.7375 35.55, 139.75 35.55, 139.75 35.5583333333333, 139.7375 35.5583333333333, 139.7375 35.55))",ローソン
42,53392575,"POLYGON ((139.6875 35.5583333333333, 139.7 35.5583333333333, 139.7 35.5666666666667, 139.6875 35.5666666666667, 139.6875 35.5583333333333))",セブンイ
43,53392576,"POLYGON ((139.7 35.5583333333333, 139.7125 35.5583333333333, 139.7125 35.5666666666667, 139.7 35.5666666666667, 139.7 35.5583333333333))",セブンイ
44,53392577,"POLYGON ((139.7125 35.5583333333333, 139.725 35.5583333333333, 139.725 35.5666666666667, 139.7125 35.5666666666667, 139.7125 35.5583333333333))",セブンイ
45,53392578,"POLYGON ((139.725 35.5583333333333, 139.7375 35.5583333333333, 139.7375 35.5666666666667, 139.725 35.5666666666667, 139.725 35.5583333333333))",サンクス
46,53392579,"POLYGON ((139.7375 35.5583333333333, 139.75 35.5583333333333, 139.75 35.5666666666667, 139.7375 35.5666666666667, 139.7375 35.5583333333333))",スリーエ
47,53392584,"POLYGON ((139.675 35.5666666666667, 139.6875 35.5666666666667, 139.6875 35.575, 139.675 35.575, 139.675 35.5666666666667))",セブンイ
48,53392585,"POLYGON ((139.6875 35.5666666666667, 139.7 35.5666666666667, 139.7 35.575, 139.6875 35.575, 139.6875 35.5666666666667))",セブンイ
49,53392586,"POLYGON ((139.7 35.5666666666667, 139.7125 35.5666666666667, 139.7125 35.575, 139.7 35.575, 139.7 35.5666666666667))",セブンイ
50,53392587,"POLYGON ((139.7125 35.5666666666667, 139.725 35.5666666666667, 139.725 35.575, 139.7125 35.575, 139.7125 35.5666666666667))",セブンイ
